"PackageId","GitHubRepo","CurrentVersion","LatestVersion"
"binbat.net4mqtt","binbat/live777","0.7.3","0.8.1"
"binbat.whepfrom","binbat/live777","0.7.3","0.8.1"
"binbat.whipinto","binbat/live777","0.7.3","0.8.1"
"BiomeJS.Biome","biomejs/biome","2.3.14","@biomejs/biome@2.3.14"
"biondi53.QuickExplorer","biondi53/Quick-Explorer","0.1.6","0.1.9"
"Bisq.Bisq","bisq-network/bisq","1.9.21","1.9.22"
"Bitwarden.Bitwarden","bitwarden/clients","2026.1.0","desktop-v2026.1.0"
"Bitwarden.CLI","bitwarden/clients","2026.1.0","desktop-v2026.1.0"
"BlankSpruce.Gersemi","BlankSpruce/gersemi","0.25.1","0.25.4"
"BleuBleu.FamiStudio","BleuBleu/FamiStudio","4.3.3","4.4.4"
"BlobstStudios.bVald","Blobst/bVald","0.1.4","0.2.1"
"Bloret.BloretLauncher","BloretCrew/Bloret-Launcher","6","8.1"
"Bloret.Launcher","BloretCrew/Bloret-Launcher","6.2","8.1"
"blueberrycongee.LuminaNote","blueberrycongee/Lumina-Note","0.4.13","0.5.0"
"bluecfd.bluecfd","blueCFD/Core","2020.1.0.0","blueCFD-Core-2024-1"
"BlueJTeam.BlueJ","k-pet-group/BlueJ-Greenfoot","5.5.0","BLUEJ-RELEASE-5.5.0"
"BlueMystical.EDHM","BlueMystical/EDHM_UI","2.2.67","3.0.62"
"BlueprintFreespeech.RicochetRefresh","blueprint-freespeech/ricochet-refresh","3.0.35","3.0.40-release"
"BobdaProgrammer.slik","BobdaProgrammer/slik","1.0.1","slikApp"
"Bochs.Bochs","bochs-emu/Bochs","3.0","REL_3_0_FINAL"
"BoxHero.BoxHero","bgpworks/boxhero-electron","2.4.8","3.0.2"
"BPBible.BPBible","bpbible/bpbible","0.5.3.1","release-0.5.3.1"
"BQN.CBQN","vylsaz/cbqn-win-docker-build","0.11.0","cbqn-0.11.0"
"Braillify.Braillify","dev-five-git/braillify","1.0.11","braillify(libs/braillify/Cargo.toml)@1.0.11"
"brandonyoungdev.tldx","brandonyoungdev/tldx","1.3.0","1.3.4"
"BrechtSanders.WinLibs.MCF.UCRT","brechtsanders/winlibs_mingw","15.1.0-12.0.0-r1","15.2.0posix-13.0.0-msvcrt-r5"
"BrechtSanders.WinLibs.POSIX.MSVCRT.LLVM","brechtsanders/winlibs_mingw","14.2.0-19.1.7-12.0.0-r3","15.2.0posix-13.0.0-msvcrt-r5"
"BrechtSanders.WinLibs.POSIX.UCRT.LLVM","brechtsanders/winlibs_mingw","14.2.0-19.1.1-12.0.0-r2","15.2.0posix-13.0.0-msvcrt-r5"
"BRL-CAD.brlcad","BRL-CAD/brlcad","7.42.0","rel-7-42-0"
"bronya0.Kafka-King","Bronya0/Kafka-King","0.26","0.44"
"BrowserStackInc.Requestly","requestly/requestly-desktop-app","25.11.13","26.2.6"
"browsh.browsh","browsh-org/browsh","1.8.2","1.8.3"
"BryanCandi.BandwidthCalculator","bryancandi/WinGet-Releases","1.2.0.1","BandwidthCalculator-1.2.0"
"bsharper.ATVDesktopRemote","bsharper/atv-desktop-remote","1.4.3","2.1.0"
"BtbN.FFmpeg.GPL.5.1","BtbN/FFmpeg-Builds","5.1.6-20250131","latest"
"BtbN.FFmpeg.GPL.6.1","BtbN/FFmpeg-Builds","6.1.3-20250831","latest"
"BtbN.FFmpeg.GPL.7.1","BtbN/FFmpeg-Builds","7.1.3-20260131","latest"
"BtbN.FFmpeg.GPL.8.0","BtbN/FFmpeg-Builds","8.0.1-20260131","latest"
"BtbN.FFmpeg.GPL.Shared.5.1","BtbN/FFmpeg-Builds","5.1.6-20250131","latest"
"BtbN.FFmpeg.GPL.Shared.6.1","BtbN/FFmpeg-Builds","6.1.3-20250831","latest"
"BtbN.FFmpeg.GPL.Shared.7.1","BtbN/FFmpeg-Builds","7.1.3-20260131","latest"
"BtbN.FFmpeg.GPL.Shared.8.0","BtbN/FFmpeg-Builds","8.0.1-20251231","latest"
"BtbN.FFmpeg.LGPL.5.1","BtbN/FFmpeg-Builds","5.1.6-20250131","latest"
"BtbN.FFmpeg.LGPL.6.1","BtbN/FFmpeg-Builds","6.1.3-20250831","latest"
"BtbN.FFmpeg.LGPL.7.1","BtbN/FFmpeg-Builds","7.1.3-20260131","latest"
"BtbN.FFmpeg.LGPL.8.0","BtbN/FFmpeg-Builds","8.0.1-20260131","latest"
"BtbN.FFmpeg.LGPL.Shared.5.1","BtbN/FFmpeg-Builds","5.1.6-20241231","latest"
"BtbN.FFmpeg.LGPL.Shared.6.1","BtbN/FFmpeg-Builds","6.1.3-20250831","latest"
"BtbN.FFmpeg.LGPL.Shared.7.1","BtbN/FFmpeg-Builds","7.1.3-20260131","latest"
"BtbN.FFmpeg.LGPL.Shared.8.0","BtbN/FFmpeg-Builds","8.0.1-20260131","latest"
"btpf.Alexandria","btpf/Alexandria","0.13.1","0.13.2"
"Builtbybel.Winslop","builtbybel/Winslop","0.35","0.50.125"
"buxuku.SmartSub.CUDA.12.4","buxuku/SmartSub","2.11.0","2.11.1"
"buxuku.SmartSub.CUDA.12.4.Optimized","buxuku/SmartSub","2.10.2","2.11.1"
"ByteDance.UI-TARS","bytedance/UI-TARS-desktop","0.2.4","0.3.0"
"ByteNess.AWSVault","ByteNess/aws-vault","7.8.7","7.9.3"
"c0re100.qBittorrent-Enhanced-Edition","c0re100/qBittorrent-Enhanced-Edition","5.1.3.10","release-5.1.3.10"
"CakeWallet.CakeWallet","cake-tech/cake_wallet","5.2.0","5.8.0"
"Calibrite.PROFILER","LUMESCA/calibrite-profiler-releases","2.0.0","3.0.2"
"cameronrye.clarissa","cameronrye/clarissa","1.4.0","1.5.0"
"Camunda.Modeler","camunda/camunda-modeler","5.38.1","5.43.1"
"cangzhang.champ-r","cangzhang/champ-r","1.3.11","2.0.2-b7"
"Canonical.Multipass","canonical/multipass","1.16.0","1.16.1"
"CaprineLogic.CarePackage","depthbomb/CarePackage","4.3.1.0","4.3.7"
"Casey.Intermodal","casey/intermodal","0.1.14","0.1.15"
"CatBraaain.winconfig","CatBraaain/winconfig","0.0.2","0.0.3"
"ccccraz.cogmoteGO","Ccccraz/cogmoteGO","0.1.16","0.1.30"
"Cemu.Cemu","cemu-project/Cemu","2.5","2.6"
"cexll.codex-wrapper","cexll/myclaude","5.1.4","6.6.0"
"ch.LosslessCut","chrishuan9/LosslessCut-winget-rls","3.68.0","losslesscut-v3.68.0"
"Changepacks.Changepacks","changepacks/changepacks","0.2.4","changepacks(crates/changepacks/Cargo.toml)@0.2.16"
"Chatty.Chatty","chatty/chatty","0.27","0.28"
"ChenQingYu.BF","chen-qingyu/bf","1.1.0","1.1.1"
"ChidiWilliams.Buzz","chidiwilliams/buzz","1.2.0","1.4.3"
"chrisant996.Clink","chrisant996/clink","1.9.11","1.9.13"
"ChrisRizzitello.BlackChocobo","sithlord48/blackchocobo","1.16.0","continuous"
"ChristianHohnstadt.xca","chris2511/xca","2.9.0","RELEASE.2.9.0"
"ChurchApps.FreeShow","ChurchApps/FreeShow","1.4.7","1.5.6"
"Cinchoo.ChoEazyCopy","Cinchoo/ChoEazyCopy","2.0.0.3","2.0.0.4"
"Cisco.ClamAV","Cisco-Talos/clamav","1.5.1","clamav-1.5.1"
"ClipTeam.ClipCC.Beta","Clipteam/clipcc-desktop","3.1.2-beta2","3.1.4"
"closeio.Close","closeio/closeio-desktop-releases","9.0.5","9.0.8"
"Cloudflare.cloudflared","cloudflare/cloudflared","2025.8.1","2026.2.0"
"Cloudreve.Cloudreve","cloudreve/cloudreve","4.4.1","4.13.0"
"CNRISTI.MeshLab","cnr-isti-vclab/meshlab","2025.07","MeshLab-2025.07"
"CNRISTI.RelightLab","cnr-isti-vclab/relight","2025.12","RelightLab-2025.12"
"Cockatrice.Cockatrice","Cockatrice/Cockatrice","2.10.2","2025-04-03-Release-2.10.2"
"CodeF0x.ffzap","CodeF0x/ffzap","1.1.2","all-1.1.2"
"Coder.CoderDesktop","coder/coder-desktop-windows","0.8.1","0.8.2"
"codexu.NoteGen","codexu/note-gen","0.25.4","note-gen-v0.25.4"
"Codilime.Veles","codilime/veles","2018.05","2018.05.0.TIF"
"CollapseLauncher.Collapse","CollapseLauncher/Collapse","1.82.36","CL-v1.83.14"
"CollapseLauncher.Collapse.Preview","CollapseLauncher/Collapse","1.83.12","CL-v1.83.14"
"Coloryr.ColorMC","Coloryr/ColorMC","1.29","a36.2025.4.15-1"
"commetchat.commet","commetchat/commet","0.3.1","0.4.0"
"CondaForge.Mambaforge","conda-forge/miniforge","24.11.0-1","25.11.0-1"
"CondaForge.Mambaforge.PyPy3","conda-forge/miniforge","24.11.0-1","25.11.0-1"
"CondaForge.Miniforge3.PyPy3","conda-forge/miniforge","24.11.0-1","25.11.0-1"
"ConfluentInc.Confluent-CLI","confluentinc/cli","4.30.1","4.52.0"
"CongusBongus.CDogsSDL","cxong/cdogs-sdl","2.3.0","2.4.0"
"Containers.PodmanTUI","containers/podman-tui","1.9.0","1.10.0"
"contour-terminal.Contour","contour-terminal/contour","0.6.1.7494","0.6.2.8008"
"converse.converse","conversejs/converse-desktop","10.1.5","12.0.0"
"COPASI.COPASI","copasi/COPASI","4.44.295","Build-300"
"Coq.CoqPlatform","coq/platform","2025.1.0","2025.08.1"
"Coq.CoqPlatform.Beta","coq/platform","2025.1.0","2025.08.1"
"Core-ai.PhoenixCode","phcode-dev/phoenix-desktop","5.0.5","prod-app-v5.0.5"
"cornradio.pausemygame","cornradio/pausemygame","2.0.1","3.2-wpf"
"Corona.Solar2D","coronalabs/corona","24.0.3706","3728"
"CorsixTH.CorsixTH","CorsixTH/CorsixTH","0.69.1","0.69.2"
"cpvalente.ontime","cpvalente/ontime","3.16.1","4.4.0"
"Crate-CI.Typos","crate-ci/typos","1.34.0","1.43.3"
"Cretezy.lazyjj","Cretezy/lazyjj","0.5.0","0.6.1"
"CryptoPro.Chromium-Gost","deemru/Chromium-Gost","144.0.7559.96","144.0.7559.132"
"CryptoTrust.OnlyKeyApp","trustcrypto/OnlyKey-App","5.3.6","5.5.0"
"ctron.oidc","ctron/oidc-cli","0.6.4","0.6.6"
"CubicSDR.CubicSDR","cjcliffe/CubicSDR","0.2.5","0.2.7"
"CumulusMX.CumulusMX","cumulusmx/CumulusMX","4.6.0","b4128"
"CuteChess.CuteChess","cutechess/cutechess","1.3.1","1.4.0"
"Cyanfish.NAPS2.Prerelease","cyanfish/naps2","7.0b9","8.2.1"
"CyberIntelSystems.CICB","cyberintelsystems/cicb","2.9.11.4","2.9.11.14"
"CyberTimon.RapidRAW","CyberTimon/RapidRAW","1.4.3","1.4.12"
"D2L.BMX","Brightspace/bmx","3.2.0","3.2.1"
"danstis.rmstale","danstis/rmstale","1.18.2","1.18.23"
"darktable.darktable","darktable-org/darktable","5.4.1","release-5.4.1"
"Datadog.dd-trace-dotnet","DataDog/dd-trace-dotnet","3.27.0","3.36.0"
"DataPLANT.ArcCommander","nfdi4plants/arcCommander","1.0.0.0","1.0.2"
"davidegiacometti.EdgeFavoritesForCmdPal","davidegiacometti/CmdPal-Extensions","0.1.0","ef-0.1.0"
"davidegiacometti.VisualStudioForCmdPal","davidegiacometti/CmdPal-Extensions","0.0.3","ef-0.1.0"
"DCSS.DungeonCrawlStoneSoup","crawl/crawl","0.33.1","0.34.0"
"dechamps.FlexASIO","dechamps/FlexASIO","1.10b","flexasio-1.10b"
"Deep-Symmetry.beat-link-trigger","Deep-Symmetry/beat-link-trigger","7.4.1","8.0.0"
"DEIF.iectl","deif/iectl","0.0.5","0.0.6"
"Deminimis.MinimalFirewall","deminimis/minimalfirewall","2.6.5","2.6.6"
"Denby.Calculator","palermostest25/Calculator","4.5","Calculator"
"derceg.Explorer++","derceg/explorerplusplus","1.4.0","ersion-1.4.0"
"DeSmuMETeam.DeSmuME","TASEmulators/desmume","0.9.13","release_0_9_13"
"dev47apps.DroidCamOBSClient","dev47apps/droidcam-obs-client","7.1.0","droidcam-7.1.0"
"developersu.ns-usbloader","developersu/ns-usbloader","7.2","7.3"
"Devolutions.Jetsocat","Devolutions/devolutions-gateway","2025.3.1","2025.3.4"
"DifferentAI.OpenWork","different-ai/openwork","0.11.34","0.11.38"
"Digimezzo.Dopamine.3","digimezzo/dopamine","3.0.0-preview.32","3.0.2"
"Digimezzo.Knowte","digimezzo/knowte","3.0.0","3.0.1"
"digitalghost-dev.poke-cli","digitalghost-dev/poke-cli","1.5.2","1.8.9"
"DimonSmart.PdfCropper","DimonSmart/PdfCropper","1.0.6","1.9.0"
"Diorser.LiteMonitor","Diorser/LiteMonitor","1.2.4","1.3.3"
"DiRoots.One","DiRoots-Limited/DiRoots.One.Releases","2.5.0","2.6.2"
"Disservin.FastChess","Disservin/fast-chess","0.9.0","1.8.0-alpha"
"divVerent.AAAAXY","divVerent/aaaaxy","1.6.338","1.7.12"
"DJ7NT.WaveLogGate","wavelog/WaveLogGate","1.1.6","1.2.0"
"Dlang.VisualD","dlang/visuald","1.3.1","1.4.1"
"dlbroadfoot.bb","dlbroadfoot/bitbucket-cli","2.84.0","2.85.0"
"Dman95.SASM","Dman95/SASM","3.15.0","3.16.0"
"Docker.Buildx","docker/buildx","0.29.1","0.31.1"
"donkrage.regpack","donkrage/regpack","1.52","1.56"
"donmar.bonsai","Mario185/bonsai","0.1.9","release_0.1.9"
"DonutWare.Fladder","DonutWare/Fladder","0.8.1","0.9.0"
"DonutWare.Fladder.Nightly","DonutWare/Fladder","0.8.0","0.9.0"
"DoublOneStudios.Glucose","rudi-q/glucose_media_player","2.4.0","2.7.0"
"dpaulat.supercell-wx","dpaulat/supercell-wx","0.5.1","0.5.4-release"
"Dr-Noob.cpufetch","Dr-Noob/cpufetch","1.06","1.07"
"DrygvalArtyom.DelAfterReboot","Artyomka628/DelAfterReboot","3.0.0","4.0.0"
"DuckStudio.FufuDevTools","DuckDuckStudio/Fufu_Dev_Tools","2025.07.16.2048","2025.11.21.1628"
"Duplicati.Duplicati.Beta","duplicati/duplicati","2.1.0.3","2.2.0.3_stable_2026-01-06"
"duyxyz.PyDeploy","duyxyz/PyDeploy","1.5","App"
"dvcrn.markright","dvcrn/markright","0.1.11","1.0.0"
"Dylibso.Extism.CLI","extism/cli","1.6.2","1.6.3"
"DynamoRIO.drmemory","DynamoRIO/drmemory","2.6.20185","cronbuild-2.6.20434"
"DynamoRIO.DynamoRIO","DynamoRIO/dynamorio","11.90.20168","cronbuild-11.91.20491"
"Dyne.CJIT","dyne/cjit","0.18.1","0.18.2"
"Dystroy.broot","Canop/broot","1.54.0","1.55.0"
"dzonder.sshells","dzonder/sshells","0.1.4","0.1.5"
"EastSun5566.HackDesk","EastSun5566/hackdesk","0.0.7","hackdesk-v0.0.7"
"EclipseAdoptium.Temurin.11.JDK","adoptium/temurin11-binaries","11.0.29.7","jdk-11.0.30+7"
"EclipseAdoptium.Temurin.11.JRE","adoptium/temurin11-binaries","11.0.29.7","jdk-11.0.30+7"
"EclipseAdoptium.Temurin.16.JDK","adoptium/temurin16-binaries","16.0.2.7","jdk-16.0.2+7"
"EclipseAdoptium.Temurin.17.JDK","adoptium/temurin17-binaries","17.0.18.8","jdk-17.0.18+8"
"EclipseAdoptium.Temurin.17.JRE","adoptium/temurin17-binaries","17.0.18.8","jdk-17.0.18+8"
"EclipseAdoptium.Temurin.18.JDK","adoptium/temurin18-binaries","18.0.2.101","jdk-18.0.2.1+1"
"EclipseAdoptium.Temurin.18.JRE","adoptium/temurin18-binaries","18.0.2.101","jdk-18.0.2.1+1"
"EclipseAdoptium.Temurin.19.JDK","adoptium/temurin19-binaries","19.0.2.7","jdk-19.0.2+7"
"EclipseAdoptium.Temurin.19.JRE","adoptium/temurin19-binaries","19.0.2.7","jdk-19.0.2+7"
"EclipseAdoptium.Temurin.20.JDK","adoptium/temurin20-binaries","20.0.2.9","jdk-20.0.2+9"
"EclipseAdoptium.Temurin.20.JRE","adoptium/temurin20-binaries","20.0.2.9","jdk-20.0.2+9"
"EclipseAdoptium.Temurin.21.JDK","adoptium/temurin21-binaries","21.0.10.7","jdk-21.0.10+7"
"EclipseAdoptium.Temurin.21.JRE","adoptium/temurin21-binaries","21.0.10.7","jdk-21.0.10+7"
"EclipseAdoptium.Temurin.22.JDK","adoptium/temurin22-binaries","22.0.2.9","jdk-22.0.2+9"
"EclipseAdoptium.Temurin.22.JRE","adoptium/temurin22-binaries","22.0.2.9","jdk-22.0.2+9"
"EclipseAdoptium.Temurin.23.JDK","adoptium/temurin23-binaries","23.0.2.7","jdk-23.0.2+7"
"EclipseAdoptium.Temurin.23.JRE","adoptium/temurin23-binaries","23.0.2.7","jdk-23.0.2+7"
"EclipseAdoptium.Temurin.24.JDK","adoptium/temurin24-binaries","24.0.2.12","jdk-24.0.2+12"
"EclipseAdoptium.Temurin.24.JRE","adoptium/temurin24-binaries","24.0.2.12","jdk-24.0.2+12"
"EclipseAdoptium.Temurin.25.JDK","adoptium/temurin25-binaries","25.0.2.10","jdk-25.0.2+10"
"EclipseAdoptium.Temurin.25.JRE","adoptium/temurin25-binaries","25.0.2.10","jdk-25.0.2+10"
"EclipseAdoptium.Temurin.8.JDK","adoptium/temurin8-binaries","8.0.472.8","jdk8u482-b08"
"EclipseAdoptium.Temurin.8.JRE","adoptium/temurin8-binaries","8.0.472.8","jdk8u482-b08"
"EclipseCommunity.r3dfox","Eclipse-Community/r3dfox","146.0","147.0.1-1"
