"PackageId","GitHubRepo","CurrentVersion","LatestVersion"
"MCreator.MCreator","MCreator/MCreator","2025.1.13416","2025.3.45720"
"Melvin-Abraham.Google-Assistant.Preview","Melvin-Abraham/Google-Assistant-Unofficial-Desktop-Client","1.0.0-rc.2","1.1.0"
"mentebinaria.dz6","mentebinaria/dz6","0.4.1","0.4.2"
"mentebinaria.retoolkit","mentebinaria/retoolkit","2023.05","2025.04"
"mesonbuild.meson","mesonbuild/meson","1.9.1","1.10.1"
"MetaCubeX.Mihomo","MetaCubeX/mihomo","1.19.19","1.19.20"
"MetaCubeX.Mihomo.GOAMD64v1","MetaCubeX/mihomo","1.19.19","1.19.20"
"MetalBear.mirrord","metalbear-co/mirrord","3.174.0","3.187.0"
"MichaelJolley.RandomDadJokesForCmdPal","michaeljolley/CmdPalExtensions","0.2.0","facts/v0.2.0"
"MichaelJolley.RandomFactsForCmdPal","michaeljolley/CmdPalExtensions","0.2.0","facts/v0.2.0"
"MichalDuda.VookiImageViewer","vookimedlo/vooki-image-viewer","25.11.30","2025.11.30"
"MicheleLocati.GettextIconv","mlocati/gettext-iconv-windows","0.26+1.17","1.0-v1.18-r2"
"Microsoft.AppInstallerFileBuilder","microsoft/MSIX-Toolkit","1.2020.221.0","2.0"
"Microsoft.Azd","Azure/azure-dev","1.23.400","azure-dev-cli_1.23.3"
"Microsoft.Azure.aks-engine-azurestack","Azure/aks-engine-azurestack","0.80.3","release-v0.84.1"
"Microsoft.Azure.Az","Azure/azure-powershell","15.2.0.40510","15.3.0-February2026"
"Microsoft.Azure.Aztfy","Azure/aztfy","0.10.0","0.19.0"
"Microsoft.Azure.CloudHSM-ClientSDK","microsoft/MicrosoftAzureCloudHSM","2.0.2.2","AzureCloudHSM-ClientSDK-2.0.2.3"
"Microsoft.Azure.IoTExplorer","Azure/azure-iot-explorer","0.15.12","0.15.13"
"Microsoft.Azure.TemplateAnalyzer","Azure/template-analyzer","0.8.5","0.8.6"
"Microsoft.DirectX.Mesh","microsoft/DirectXMesh","2025.10.28.1","oct2025"
"Microsoft.DirectX.ToolKit.MakeSpriteFont","microsoft/DirectXTK","2025.10.28.2","oct2025"
"Microsoft.DirectX.ToolKit.XWBTool","microsoft/DirectXTK","2025.10.28.2","oct2025"
"Microsoft.DirectXTex.Texassemble","microsoft/DirectXTex","2025.7.10","oct2025"
"Microsoft.DirectXTex.Texconv","microsoft/DirectXTex","2025.7.10","oct2025"
"Microsoft.DirectXTex.Texdiag","microsoft/DirectXTex","2025.7.10","oct2025"
"Microsoft.EventLogExpert","microsoft/EventLogExpert","25.12.11.1105","26.1.9.1322"
"Microsoft.Gaming.GDK","microsoft/GDK","2510.1.6224","October-2025-Update-1-v2510.1.6224"
"Microsoft.Gaming.GDK.XboxGamePackageManager","microsoft/PackageUploader","3.1.7","3.1.8"
"Microsoft.Gaming.RemoteIterationClient","microsoft/GDK","0.0.6-Preview","October-2025-Update-1-v2510.1.6224"
"Microsoft.Gaming.RemoteIterationEndpoint","microsoft/GDK","0.0.6-Preview","October-2025-Update-1-v2510.1.6224"
"Microsoft.Gaming.TAK.CLI","microsoft/xbox-game-streaming-tools","11.36.0","tak-cli-v11.36.0"
"Microsoft.Garnet.DN8","microsoft/garnet","1.0.83","1.0.97"
"Microsoft.Garnet.DN9","microsoft/garnet","1.0.83","1.0.97"
"Microsoft.Git","microsoft/git","2.52.0.0.5","2.52.0.vfs.0.5"
"Microsoft.HIDTools.Waratah","microsoft/hidtools","1.90","Waratah-v1.90"
"Microsoft.IronPython.2","IronLanguages/ironpython2","2.7.12.1000","ipy-2.7.12"
"Microsoft.M365AgentsPlayground","OfficeDev/microsoft-365-agents-toolkit","0.2.22","ms-teams-vscode-extension@6.4.3"
"Microsoft.MSIXCore","microsoft/msix-packaging","1.2.0.0","MSIX-Core-1.2-release"
"Microsoft.OpenAPI.Hidi","microsoft/OpenAPI.NET","3.1.2.0","3.3.1"
"Microsoft.quicreach","microsoft/quicreach","1.3.0","1.5.0"
"Microsoft.UI.Xaml.2.7","microsoft/microsoft-ui-xaml","7.2208.15002.0","winui3/release/1.8.4"
"Microsoft.UI.Xaml.2.8","microsoft/microsoft-ui-xaml","8.2310.30001.0","winui3/release/1.8.4"
"Microsoft.WindowsBusesTracing","microsoft/busiotools","1.0.0","bt1.0.0"
"Microsoft.WindowsMIDIServicesSDK","microsoft/MIDI","1.0.14-rc.1.209","enablement-checker"
"Midry.hato","midry3/hato","1.1.0","1.2.0"
"Mihomo-Party.Mihomo-Party","mihomo-party-org/clash-party","1.9.0","1.9.1"
"mikf.gallery-dl","mikf/gallery-dl","1.31.5","1.31.6"
"mikf.gallery-dl.Nightly","gdl-org/builds","2026.02.07","2026.02.08"
"Miller.Miller","johnkerl/miller","6.13.0","6.16.0"
"Mingo.Mingo","mingo-app/mingo","1.14.1","2025.12.0"
"MiniantGit.REAL","miniant-git/REAL","0.2.0","updater-v2"
"MLMGames.Imagot","mlm-games/imagot","0.2.8","0.2.18"
"MLMGames.Pomodorot","mlm-games/pomodorot","0.13.1","0.13.2"
"MLMGames.VeloDown","mlm-games/velodown","0.2.12","0.3.12"
"mlocati.GetText","mlocati/gettext-iconv-windows","0.25","1.0-v1.18-r2"
"mmanela.markdownoutlook","mmanela/MarkdownOutlook","1.0.0","1.2.0"
"mmvanheusden.SteamDepotDownloaderGUI","mmvanheusden/SteamDepotDownloaderGUI","3.0.1","3.2.0"
"MoeruAI.AIRI","moeru-ai/airi","0.8.2","0.8.4"
"moi-si.lumine","moi-si/lumine","0.2.1","0.3.0"
"MojtabaTajik.WSBBuilder","MojtabaTajik/WSBBuilder","1.0.0.28","10.0.0.28"
"molenzwiebel.Deceive","molenzwiebel/Deceive","1.15.0","1.16.0"
"Momento.cli","momentohq/momento-cli","0.46.0","0.50.0"
"moneymanagerex.moneymanagerex","moneymanagerex/moneymanagerex","1.9.0","1.9.2"
"MongoDB.Compass.Community","mongodb-js/compass","1.41.0","1.49.1"
"MonoGame.MonoGame","MonoGame/MonoGame","3.7.1.189","3.8.4.1"
"monsterkodi.clippo","monsterkodi/clippo","1.35.0","1.40.0"
"MorganZWest.HSEmulate","morganzwest/hsemulator","0.4.0","0.4.1"
"mostlygeek.llama-swap","mostlygeek/llama-swap","189","190"
